host,guest,odds,result
迈阿密热火,波特兰开拓者,-6.5,输

多伦多猛龙,印第安纳步行者,-3.5,赢

新奥尔良鹈鹕,明尼苏达森林狼,-4.5,赢

圣安东尼奥马刺,萨克拉门托国王,-12.5,赢

洛杉矶湖人,克里夫兰骑士,12.5,赢

夏洛特黄蜂,亚特兰大老鹰,-5.5,赢

奥兰多魔术,费城76人,-4.5,输

印第安纳步行者,犹他爵士,1.5,赢

波士顿凯尔特人,华盛顿奇才,-2.5,赢

休斯顿火箭,丹佛掘金,-9.5,输

俄克拉荷马雷霆,金州勇士,0.0,输

洛杉矶快船,纽约尼克斯,-11.5,输

多伦多猛龙,芝加哥公牛,-6.5,输

布鲁克林篮网队,底特律活塞,4.5,赢

迈阿密热火,菲尼克斯太阳,-12.5,赢

新奥尔良鹈鹕,孟菲斯灰熊,-2.5,赢

达拉斯独行侠,金州勇士,3.5,输

明尼苏达森林狼,圣安东尼奥马刺,4.5,输

波特兰开拓者,密尔沃基雄鹿,-5.5,输

洛杉矶湖人,洛杉矶快船,8.5,输

奥兰多魔术,夏洛特黄蜂,5.5,输

波士顿凯尔特人,印第安纳步行者,-7.5,赢

俄克拉荷马雷霆,费城76人,-10.5,赢

芝加哥公牛,底特律活塞,1.5,赢

华盛顿奇才,亚特兰大老鹰,-6.5,输

丹佛掘金,克里夫兰骑士,3.5,赢

犹他爵士,纽约尼克斯,-10.5,输

萨克拉门托国王,密尔沃基雄鹿,4.5,输

布鲁克林篮网队,菲尼克斯太阳,-3.5,赢

迈阿密热火,多伦多猛龙,-3.5,输

达拉斯独行侠,洛杉矶快船,4.5,赢

圣安东尼奥马刺,孟菲斯灰熊,-7.5,输

波特兰开拓者,纽约尼克斯,-14.5,赢

奥兰多魔术,底特律活塞,2.5,赢

夏洛特黄蜂,克里夫兰骑士,2.5,输

华盛顿奇才,布鲁克林篮网队,-11.5,赢

印第安纳步行者,丹佛掘金,-1.5,输

波士顿凯尔特人,菲尼克斯太阳,-17.5,输

密尔沃基雄鹿,亚特兰大老鹰,-5.5,输

芝加哥公牛,费城76人,-6.5,输

休斯顿火箭,新奥尔良鹈鹕,-6.5,赢

金州勇士,萨克拉门托国王,-16.5,输

洛杉矶湖人,明尼苏达森林狼,7.5,赢

洛杉矶快船,犹他爵士,-6.5,赢

克里夫兰骑士,华盛顿奇才,-4.5,输

达拉斯独行侠,多伦多猛龙,-1.5,输

圣安东尼奥马刺,纽约尼克斯,-15.5,输

波特兰开拓者,明尼苏达森林狼,-5.5,赢

夏洛特黄蜂,菲尼克斯太阳,-13.5,赢

亚特兰大老鹰,布鲁克林篮网队,-8.5,输

密尔沃基雄鹿,芝加哥公牛,-7.5,输

洛杉矶快船,萨克拉门托国王,-14.5,输

休斯顿火箭,俄克拉荷马雷霆,-6.5,赢

波士顿凯尔特人,迈阿密热火,-7.5,输

印第安纳步行者,费城76人,-9.5,赢

金州勇士,孟菲斯灰熊,-10.5,赢

丹佛掘金,新奥尔良鹈鹕,-6.5,输

洛杉矶湖人,波特兰开拓者,8.5,输

多伦多猛龙,奥兰多魔术,-7.5,赢

纽约尼克斯,底特律活塞,0.0,赢

圣安东尼奥马刺,克里夫兰骑士,-4.5,赢

达拉斯独行侠,俄克拉荷马雷霆,0.0,输

犹他爵士,新奥尔良鹈鹕,-6.5,赢

萨克拉门托国王,孟菲斯灰熊,5.5,赢

印第安纳步行者,明尼苏达森林狼,-5.5,输

夏洛特黄蜂,密尔沃基雄鹿,-3.5,输

亚特兰大老鹰,菲尼克斯太阳,-8.5,输

布鲁克林篮网队,费城76人,-3.5,输

底特律活塞,迈阿密热火,4.5,赢

休斯顿火箭,金州勇士,0.0,输

波特兰开拓者,丹佛掘金,0.0,赢

洛杉矶湖人,华盛顿奇才,8.5,输

奥兰多魔术,俄克拉荷马雷霆,6.5,输

费城76人,亚特兰大老鹰,1.5,输

纽约尼克斯,迈阿密热火,3.5,输

多伦多猛龙,夏洛特黄蜂,-6.5,输

波士顿凯尔特人,密尔沃基雄鹿,-8.5,输

孟菲斯灰熊,印第安纳步行者,-5.5,赢

新奥尔良鹈鹕,达拉斯独行侠,-4.5,输

圣安东尼奥马刺,金州勇士,-4.5,输

洛杉矶快船,华盛顿奇才,-5.5,赢

萨克拉门托国王,犹他爵士,7.5,输

底特律活塞,布鲁克林篮网队,-5.5,输

芝加哥公牛,克里夫兰骑士,4.5,赢

明尼苏达森林狼,洛杉矶湖人,-10.5,赢

菲尼克斯太阳,洛杉矶快船,11.5,赢

波特兰开拓者,休斯顿火箭,-1.5,赢

多伦多猛龙,印第安纳步行者,-5.5,赢

夏洛特黄蜂,丹佛掘金,-3.5,赢

波士顿凯尔特人,奥兰多魔术,-10.5,输

克里夫兰骑士,费城76人,-10.5,赢

迈阿密热火,纽约尼克斯,-10.5,输

密尔沃基雄鹿,底特律活塞,-8.5,输

新奥尔良鹈鹕,萨克拉门托国王,-10.5,赢

孟菲斯灰熊,达拉斯独行侠,-4.5,赢

俄克拉荷马雷霆,圣安东尼奥马刺,3.5,输

犹他爵士,华盛顿奇才,-3.5,赢

金州勇士,休斯顿火箭,-10.5,输

洛杉矶快船,洛杉矶湖人,-15.5,输

芝加哥公牛,亚特兰大老鹰,-6.5,输

布鲁克林篮网队,奥兰多魔术,-2.5,赢

明尼苏达森林狼,萨克拉门托国王,-13.5,输

波特兰开拓者,菲尼克斯太阳,-13.5,输

纽约尼克斯,波士顿凯尔特人,9.5,输

俄克拉荷马雷霆,夏洛特黄蜂,-6.5,输

圣安东尼奥马刺,犹他爵士,-6.5,输

密尔沃基雄鹿,达拉斯独行侠,-7.5,输

洛杉矶湖人,孟菲斯灰熊,6.5,赢

迈阿密热火,丹佛掘金,-5.5,输

多伦多猛龙,费城76人,-12.5,输

克里夫兰骑士,印第安纳步行者,-9.5,输

新奥尔良鹈鹕,芝加哥公牛,-9.5,输

布鲁克林篮网队,亚特兰大老鹰,2.5,赢

金州勇士,华盛顿奇才,-10.5,赢

菲尼克斯太阳,休斯顿火箭,6.5,输

明尼苏达森林狼,波特兰开拓者,-3.5,输

克里夫兰骑士,奥兰多魔术,-9.5,赢

费城76人,布鲁克林篮网队,2.5,输

印第安纳步行者,多伦多猛龙,-4.5,赢

华盛顿奇才,夏洛特黄蜂,-4.5,赢

纽约尼克斯,芝加哥公牛,2.5,赢

俄克拉荷马雷霆,密尔沃基雄鹿,-4.5,赢

新奥尔良鹈鹕,丹佛掘金,-4.5,输

圣安东尼奥马刺,孟菲斯灰熊,-9.5,输

犹他爵士,波特兰开拓者,-7.5,赢

萨克拉门托国王,达拉斯独行侠,2.5,赢

金州勇士,明尼苏达森林狼,-14.5,输

夏洛特黄蜂,迈阿密热火,-2.5,输

底特律活塞,多伦多猛龙,1.5,输

波士顿凯尔特人,克里夫兰骑士,-3.5,输

孟菲斯灰熊,俄克拉荷马雷霆,4.5,赢

休斯顿火箭,丹佛掘金,-8.5,输

圣安东尼奥马刺,洛杉矶湖人,-13.5,输

菲尼克斯太阳,金州勇士,10.5,赢

洛杉矶快船,达拉斯独行侠,-11.5,输

费城76人,芝加哥公牛,4.5,输

奥兰多魔术,布鲁克林篮网队,-1.5,赢

印第安纳步行者,密尔沃基雄鹿,-4.5,赢

纽约尼克斯,华盛顿奇才,6.5,赢

亚特兰大老鹰,波士顿凯尔特人,2.5,赢

波特兰开拓者,明尼苏达森林狼,-6.5,赢

克里夫兰骑士,亚特兰大老鹰,-13.5,输

多伦多猛龙,迈阿密热火,-5.5,输

孟菲斯灰熊,纽约尼克斯,-12.5,赢

休斯顿火箭,底特律活塞,-12.5,输

达拉斯独行侠,圣安东尼奥马刺,-6.5,输

犹他爵士,明尼苏达森林狼,-10.5,输

丹佛掘金,新奥尔良鹈鹕,-7.5,赢

菲尼克斯太阳,俄克拉荷马雷霆,9.5,赢

洛杉矶湖人,萨克拉门托国王,-3.5,赢

布鲁克林篮网队,芝加哥公牛,4.5,赢

夏洛特黄蜂,波士顿凯尔特人,-2.5,输

奥兰多魔术,印第安纳步行者,5.5,输

费城76人,密尔沃基雄鹿,5.5,输

华盛顿奇才,迈阿密热火,-4.5,输

圣安东尼奥马刺,洛杉矶快船,-2.5,输

波特兰开拓者,犹他爵士,-3.5,赢

金州勇士,新奥尔良鹈鹕,-17.5,赢

纽约尼克斯,多伦多猛龙,9.5,输

亚特兰大老鹰,克里夫兰骑士,6.5,赢

丹佛掘金,俄克拉荷马雷霆,-4.5,输

孟菲斯灰熊,底特律活塞,-6.5,输

菲尼克斯太阳,达拉斯独行侠,-1.5,赢

萨克拉门托国王,休斯顿火箭,10.5,赢

洛杉矶湖人,明尼苏达森林狼,7.5,赢

费城76人,印第安纳步行者,7.5,输

迈阿密热火,克里夫兰骑士,-9.5,输

波士顿凯尔特人,布鲁克林篮网队,-9.5,输

密尔沃基雄鹿,夏洛特黄蜂,-5.5,赢

芝加哥公牛,奥兰多魔术,-7.5,赢

底特律活塞,华盛顿奇才,-7.5,输

波特兰开拓者,圣安东尼奥马刺,10.5,赢

金州勇士,犹他爵士,-11.5,输

洛杉矶快船,休斯顿火箭,-10.5,赢

亚特兰大老鹰,夏洛特黄蜂,-8.5,赢

明尼苏达森林狼,俄克拉荷马雷霆,-8.5,输

达拉斯独行侠,丹佛掘金,-2.5,输

萨克拉门托国王,菲尼克斯太阳,-4.5,赢

洛杉矶湖人,新奥尔良鹈鹕,-4.5,赢

孟菲斯灰熊,达拉斯独行侠,-8.5,输

迈阿密热火,华盛顿奇才,-9.5,输

俄克拉荷马雷霆,丹佛掘金,-4.5,输

休斯顿火箭,明尼苏达森林狼,-9.5,输

波士顿凯尔特人,密尔沃基雄鹿,-13.5,赢

芝加哥公牛,布鲁克林篮网队,-15.5,赢

印第安纳步行者,亚特兰大老鹰,-16.5,赢

奥兰多魔术,底特律活塞,-2.5,赢

克里夫兰骑士,多伦多猛龙,3.5,输

纽约尼克斯,费城76人,-1.5,输

犹他爵士,圣安东尼奥马刺,-4.5,输

金州勇士,洛杉矶湖人,-14.5,赢

洛杉矶快船,萨克拉门托国王,-15.5,赢

波特兰开拓者,新奥尔良鹈鹕,-7.5,输
