host,guest,odds,result
多伦多猛龙,孟菲斯灰熊,-12.5,赢

明尼苏达森林狼,纽约尼克斯,-3.5,输

芝加哥公牛,洛杉矶湖人,-9.5,输

俄克拉荷马雷霆,华盛顿奇才,-5.5,赢

达拉斯独行侠,圣安东尼奥马刺,8.5,赢

菲尼克斯太阳,亚特兰大老鹰,5.5,赢

丹佛掘金,迈阿密热火,-5.5,输

波特兰开拓者,印第安纳步行者,-7.5,赢

夏洛特黄蜂,达拉斯独行侠,-10.5,输

布鲁克林篮网队,密尔沃基雄鹿,4.5,输

孟菲斯灰熊,奥兰多魔术,2.5,赢

克里夫兰骑士,洛杉矶快船,-4.5,输

犹他爵士,迈阿密热火,-8.5,输

金州勇士,休斯顿火箭,-10.5,输

费城76人,奥兰多魔术,-1.5,输

纽约尼克斯,明尼苏达森林狼,0.0,赢

波士顿凯尔特人,萨克拉门托国王,-6.5,输

多伦多猛龙,洛杉矶湖人,-9.5,赢

芝加哥公牛,克里夫兰骑士,1.5,赢

亚特兰大老鹰,底特律活塞,-2.5,输

新奥尔良鹈鹕,洛杉矶快船,4.5,输

圣安东尼奥马刺,华盛顿奇才,-9.5,输

丹佛掘金,休斯顿火箭,-3.5,输

密尔沃基雄鹿,布鲁克林篮网队,-9.5,输

夏洛特黄蜂,明尼苏达森林狼,-5.5,输

费城76人,波士顿凯尔特人,9.5,赢

多伦多猛龙,亚特兰大老鹰,-8.5,赢

孟菲斯灰熊,洛杉矶湖人,-2.5,赢

达拉斯独行侠,芝加哥公牛,2.5,赢

犹他爵士,丹佛掘金,-6.5,赢

波特兰开拓者,迈阿密热火,-6.5,赢

金州勇士,菲尼克斯太阳,-16.5,赢

底特律活塞,奥兰多魔术,-7.5,输

俄克拉荷马雷霆,新奥尔良鹈鹕,-5.5,赢

纽约尼克斯,萨克拉门托国王,-1.5,赢

洛杉矶快船,印第安纳步行者,-11.5,输

费城76人,丹佛掘金,3.5,输

亚特兰大老鹰,俄克拉荷马雷霆,-2.5,输

布鲁克林篮网队,华盛顿奇才,5.5,赢

多伦多猛龙,克里夫兰骑士,-1.5,输

休斯顿火箭,波士顿凯尔特人,-4.5,输

芝加哥公牛,波特兰开拓者,-4.5,输

新奥尔良鹈鹕,孟菲斯灰熊,-4.5,输

密尔沃基雄鹿,圣安东尼奥马刺,5.5,赢

达拉斯独行侠,夏洛特黄蜂,4.5,输

洛杉矶湖人,犹他爵士,3.5,输

金州勇士,印第安纳步行者,-13.5,赢

华盛顿奇才,奥兰多魔术,-2.5,输

迈阿密热火,纽约尼克斯,-1.5,输

底特律活塞,芝加哥公牛,-5.5,赢

孟菲斯灰熊,费城76人,-7.5,输

明尼苏达森林狼,圣安东尼奥马刺,3.5,输

犹他爵士,菲尼克斯太阳,-6.5,赢

夏洛特黄蜂,底特律活塞,-4.5,赢

奥兰多魔术,波士顿凯尔特人,2.5,输

亚特兰大老鹰,迈阿密热火,-8.5,输

布鲁克林篮网队,丹佛掘金,4.5,赢

密尔沃基雄鹿,波特兰开拓者,-2.5,赢

休斯顿火箭,洛杉矶湖人,-12.5,赢

纽约尼克斯,克里夫兰骑士,8.5,输

达拉斯独行侠,萨克拉门托国王,3.5,输

菲尼克斯太阳,印第安纳步行者,4.5,输

洛杉矶快船,金州勇士,4.5,输

华盛顿奇才,丹佛掘金,-5.5,赢

多伦多猛龙,明尼苏达森林狼,-8.5,赢

孟菲斯灰熊,波特兰开拓者,4.5,赢

新奥尔良鹈鹕,费城76人,-7.5,输

犹他爵士,金州勇士,11.5,赢

芝加哥公牛,圣安东尼奥马刺,2.5,赢

夏洛特黄蜂,奥兰多魔术,-6.5,赢

克里夫兰骑士,迈阿密热火,-12.5,赢

波士顿凯尔特人,多伦多猛龙,-1.5,输

明尼苏达森林狼,底特律活塞,2.5,输

密尔沃基雄鹿,亚特兰大老鹰,-2.5,输

俄克拉荷马雷霆,休斯顿火箭,0.0,输

达拉斯独行侠,印第安纳步行者,4.5,赢

洛杉矶湖人,菲尼克斯太阳,-1.5,输

萨克拉门托国王,纽约尼克斯,-4.5,输

印第安纳步行者,波特兰开拓者,1.5,赢

华盛顿奇才,密尔沃基雄鹿,-4.5,赢

奥兰多魔术,丹佛掘金,2.5,输

克里夫兰骑士,夏洛特黄蜂,-7.5,赢

芝加哥公牛,迈阿密热火,-9.5,输

孟菲斯灰熊,金州勇士,12.5,赢

休斯顿火箭,达拉斯独行侠,-12.5,赢

圣安东尼奥马刺,布鲁克林篮网队,-14.5,赢

犹他爵士,萨克拉门托国王,-5.5,赢

洛杉矶快船,新奥尔良鹈鹕,-14.5,赢

底特律活塞,费城76人,-12.5,输

俄克拉荷马雷霆,波士顿凯尔特人,-3.5,输

明尼苏达森林狼,金州勇士,10.5,赢

菲尼克斯太阳,新奥尔良鹈鹕,-2.5,输

洛杉矶湖人,纽约尼克斯,-2.5,输

印第安纳步行者,夏洛特黄蜂,1.5,赢

迈阿密热火,华盛顿奇才,1.5,赢

多伦多猛龙,密尔沃基雄鹿,-7.5,赢

休斯顿火箭,布鲁克林篮网队,-13.5,输

达拉斯独行侠,丹佛掘金,2.5,赢

洛杉矶快船,波特兰开拓者,-9.5,输

萨克拉门托国王,洛杉矶湖人,-7.5,赢

克里夫兰骑士,孟菲斯灰熊,-13.5,赢

亚特兰大老鹰,奥兰多魔术,-7.5,输

芝加哥公牛,明尼苏达森林狼,-6.5,输

新奥尔良鹈鹕,金州勇士,10.5,赢

菲尼克斯太阳,纽约尼克斯,2.5,赢

波特兰开拓者,俄克拉荷马雷霆,-1.5,赢

奥兰多魔术,洛杉矶快船,9.5,赢

华盛顿奇才,夏洛特黄蜂,0.0,赢

迈阿密热火,印第安纳步行者,0.0,赢

费城76人,多伦多猛龙,8.5,输

布鲁克林篮网队,洛杉矶湖人,1.5,赢

孟菲斯灰熊,克里夫兰骑士,-6.5,赢

休斯顿火箭,萨克拉门托国王,-12.5,赢

达拉斯独行侠,底特律活塞,4.5,输

犹他爵士,俄克拉荷马雷霆,-7.5,赢

圣安东尼奥马刺,波士顿凯尔特人,-6.5,赢

密尔沃基雄鹿,芝加哥公牛,0.0,赢

新奥尔良鹈鹕,印第安纳步行者,-3.5,赢

丹佛掘金,波特兰开拓者,-2.5,赢

菲尼克斯太阳,圣安东尼奥马刺,7.5,输

金州勇士,纽约尼克斯,-16.5,输

华盛顿奇才,底特律活塞,1.5,赢

奥兰多魔术,布鲁克林篮网队,-6.5,赢

波士顿凯尔特人,夏洛特黄蜂,-6.5,赢

多伦多猛龙,亚特兰大老鹰,-7.5,输

费城76人,洛杉矶湖人,-1.5,输

孟菲斯灰熊,萨克拉门托国王,-4.5,输

迈阿密热火,洛杉矶快船,6.5,赢

芝加哥公牛,密尔沃基雄鹿,-4.5,输

休斯顿火箭,新奥尔良鹈鹕,-11.5,赢

犹他爵士,达拉斯独行侠,-10.5,输

俄克拉荷马雷霆,菲尼克斯太阳,-7.5,赢

底特律活塞,印第安纳步行者,-4.5,输

克里夫兰骑士,洛杉矶湖人,-15.5,输

亚特兰大老鹰,夏洛特黄蜂,-2.5,输

明尼苏达森林狼,休斯顿火箭,3.5,赢

丹佛掘金,纽约尼克斯,-3.5,赢

金州勇士,波特兰开拓者,-13.5,赢

华盛顿奇才,洛杉矶快船,4.5,赢

孟菲斯灰熊,犹他爵士,1.5,输

奥兰多魔术,多伦多猛龙,5.5,输

费城76人,布鲁克林篮网队,-2.5,输

迈阿密热火,波士顿凯尔特人,4.5,输

达拉斯独行侠,萨克拉门托国王,-1.5,赢

